EDT,variable,value
2013-01-01, Max VisibilityMiles,9
2013-01-01,Max Dew PointF,31
2013-01-01, Max Gust SpeedMPH,15.0
2013-01-01, Min VisibilityMiles,2
2013-01-01,Max TemperatureF,32
2013-01-02, Max Sea Level PressureIn,30.29
2013-01-02,Max Humidity,92
2013-01-02, Max VisibilityMiles,10
2013-01-02,MeanDew PointF,7
2013-01-02, Max Gust SpeedMPH,7.0
2013-01-02,Mean TemperatureF,13
2013-01-02, CloudCover,0
2013-01-02,Max TemperatureF,25
2013-01-02, Min Humidity,50
2013-01-02,Max Dew PointF,13
2013-01-02, Min Sea Level PressureIn,30.19
2013-01-02, Mean Sea Level PressureIn,30.24
2013-01-02, Mean VisibilityMiles,8
2013-01-02, Min VisibilityMiles,4
2013-01-02, WindDirDegrees,226
2013-01-02,Min DewpointF,-2
2013-01-02, Mean Humidity,71
2013-01-02,PrecipitationIn,0.00
2013-01-02, Max Wind SpeedMPH,6
2013-01-03,PrecipitationIn,0.00
2013-01-03, Min Humidity,61
2013-01-03, Max Wind SpeedMPH,10
2013-01-03, Max VisibilityMiles,10
2013-01-03,Min TemperatureF,3
2013-01-03,Min DewpointF,-1
2013-01-03, Mean Wind SpeedMPH,5
2013-01-03,Mean TemperatureF,18
2013-01-03,Max TemperatureF,33
2013-01-03,Max Humidity,86
2013-01-03, Max Sea Level PressureIn,30.36
2013-01-03, CloudCover,3
2013-01-03, Mean VisibilityMiles,9
2013-01-03, WindDirDegrees,253
2013-01-03, Mean Sea Level PressureIn,30.29
2013-01-03, Min VisibilityMiles,7
2013-01-03,MeanDew PointF,14
2013-01-03, Max Gust SpeedMPH,15.0
2013-01-03, Min Sea Level PressureIn,30.23
2013-01-03, Mean Humidity,74
2013-01-03,Max Dew PointF,23
2013-01-04, Mean Sea Level PressureIn,30.35
2013-01-04, Min Humidity,58
2013-01-04, WindDirDegrees,258
2013-01-04,Min TemperatureF,17
2013-01-04,Mean TemperatureF,24
2013-01-04,PrecipitationIn,0.00
2013-01-04,Max Humidity,92
2013-01-04,Max TemperatureF,31
2013-01-04, Max VisibilityMiles,10
2013-01-04,Max Dew PointF,23
2013-01-04, CloudCover,3
2013-01-04, Mean Humidity,75
2013-01-04, Mean Wind SpeedMPH,7
2013-01-04,MeanDew PointF,20
2013-01-04,Min DewpointF,14
2013-01-04, Max Wind SpeedMPH,17
2013-01-04, Min Sea Level PressureIn,30.3
2013-01-04, Min VisibilityMiles,4
2013-01-04, Max Gust SpeedMPH,24.0
2013-01-04, Max Sea Level PressureIn,30.39
2013-01-04, Mean VisibilityMiles,9
2013-01-05,Max TemperatureF,39
2013-01-05, Mean VisibilityMiles,7
2013-01-05, WindDirDegrees,204
2013-01-05,Max Humidity,92
2013-01-05,Mean TemperatureF,24
2013-01-05, Min Humidity,48
2013-01-05,PrecipitationIn,T
2013-01-05, Mean Humidity,70
2013-01-05, Min Sea Level PressureIn,30.15
2013-01-05,Max Dew PointF,28
2013-01-05, Events,Snow
2013-01-05, Max Gust SpeedMPH,22.0
2013-01-05,MeanDew PointF,20
2013-01-05, CloudCover,4
2013-01-05, Mean Sea Level PressureIn,30.28
2013-01-05,Min DewpointF,7
2013-01-05, Min VisibilityMiles,2
2013-01-05, Mean Wind SpeedMPH,5
2013-01-05, Max VisibilityMiles,10
2013-01-05,Min TemperatureF,9
2013-01-05, Max Wind SpeedMPH,16
2013-01-05, Max Sea Level PressureIn,30.36
2013-01-06,Min TemperatureF,22
2013-01-06,MeanDew PointF,25
2013-01-06, Max VisibilityMiles,10
2013-01-06,Max TemperatureF,37
2013-01-06,Mean TemperatureF,30
2013-01-06, Mean VisibilityMiles,8
2013-01-06, Mean Humidity,73
2013-01-06, CloudCover,7
2013-01-06, Mean Wind SpeedMPH,8
2013-01-06,Min DewpointF,19
2013-01-06, Max Sea Level PressureIn,30.39
2013-01-06, Max Wind SpeedMPH,18
2013-01-06, WindDirDegrees,266
2013-01-06,Max Humidity,82
2013-01-06, Mean Sea Level PressureIn,30.18
2013-01-06, Max Gust SpeedMPH,28.0
2013-01-06,PrecipitationIn,0.00
2013-01-06, Min VisibilityMiles,5
2013-01-06,Max Dew PointF,31
2013-01-06, Min Humidity,64
2013-01-06, Min Sea Level PressureIn,30.05
2013-01-07, Mean VisibilityMiles,5
2013-01-07, Max Gust SpeedMPH,17.0
2013-01-07, Max VisibilityMiles,10
2013-01-07,Max TemperatureF,37
2013-01-07, Max Sea Level PressureIn,30.47
2013-01-07, Min Humidity,59
2013-01-07, Events,Fog
2013-01-07, Min Sea Level PressureIn,30.24
2013-01-07,Max Humidity,100
2013-01-07, Mean Humidity,83
2013-01-07,Max Dew PointF,24
2013-01-07,PrecipitationIn,0.00
2013-01-07, CloudCover,0
2013-01-07,MeanDew PointF,16
2013-01-07, WindDirDegrees,156
2013-01-07,Mean TemperatureF,24
2013-01-07, Max Wind SpeedMPH,13
2013-01-07, Min VisibilityMiles,0
2013-01-07, Mean Sea Level PressureIn,30.38
2013-01-07,Min DewpointF,7
2013-01-07,Min TemperatureF,10
2013-01-08,Min TemperatureF,17
2013-01-08,Max Dew PointF,30
2013-01-08, Min Humidity,49
2013-01-08, Max Gust SpeedMPH,16.0
2013-01-08,Max TemperatureF,45
2013-01-08,Max Humidity,92
2013-01-08, Max Wind SpeedMPH,12
2013-01-08,MeanDew PointF,23
2013-01-08, Max VisibilityMiles,10
2013-01-08,Mean TemperatureF,31
2013-01-08, Mean Sea Level PressureIn,30.24
2013-01-08,Min DewpointF,14
2013-01-08, Min VisibilityMiles,3
2013-01-08, Mean Wind SpeedMPH,4
2013-01-08, Mean VisibilityMiles,8
2013-01-08, WindDirDegrees,165
2013-01-08,PrecipitationIn,0.00
2013-01-08, Min Sea Level PressureIn,30.21
2013-01-08, Max Sea Level PressureIn,30.29
2013-01-08, Mean Humidity,71
2013-01-08, CloudCover,0
2013-01-09,Mean TemperatureF,41
2013-01-09,Min DewpointF,29
2013-01-09,Max Humidity,100
2013-01-09,Max TemperatureF,51
2013-01-09, Min Sea Level PressureIn,30.2
2013-01-09, CloudCover,4
2013-01-09, Min Humidity,46
2013-01-09,MeanDew PointF,35
2013-01-09,PrecipitationIn,0.00
2013-01-09,Min TemperatureF,30
2013-01-09,Max Dew PointF,40
2013-01-09, Max Gust SpeedMPH,26.0
2013-01-09, Max VisibilityMiles,10
2013-01-09, Mean Sea Level PressureIn,30.34
2013-01-09, Mean Wind SpeedMPH,5
2013-01-09, Max Wind SpeedMPH,17
2013-01-09, Mean VisibilityMiles,8
2013-01-09, Events,Rain
2013-01-09, Mean Humidity,73
2013-01-09, Min VisibilityMiles,2
2013-01-09, Max Sea Level PressureIn,30.51
2013-01-09, WindDirDegrees,243
2013-01-10, Mean Humidity,80
2013-01-10, Min Humidity,64
2013-01-10, Events,Rain
2013-01-10, Min Sea Level PressureIn,30.01
2013-01-10, Mean VisibilityMiles,6
2013-01-10, Max Gust SpeedMPH,24.0
2013-01-10,Max Humidity,96
2013-01-10, Max Sea Level PressureIn,30.5
2013-01-10, CloudCover,6
2013-01-10, Mean Wind SpeedMPH,8
2013-01-10,Max Dew PointF,45
2013-01-10,Mean TemperatureF,38
2013-01-10, Min VisibilityMiles,2
2013-01-10,Min TemperatureF,29
2013-01-10,Max TemperatureF,47
2013-01-10,Min DewpointF,27
2013-01-10, Max Wind SpeedMPH,17
2013-01-10, WindDirDegrees,120
2013-01-10, Mean Sea Level PressureIn,30.26
2013-01-10, Max VisibilityMiles,10
2013-01-10,PrecipitationIn,0.14
2013-01-10,MeanDew PointF,36
2013-01-11, Min Sea Level PressureIn,29.84
2013-01-11, Min VisibilityMiles,0
2013-01-11,Min DewpointF,46
2013-01-11, Events,Fog-Rain
2013-01-11, Mean VisibilityMiles,6
2013-01-11, Mean Wind SpeedMPH,11
2013-01-11, Max VisibilityMiles,10
2013-01-11, Max Wind SpeedMPH,26
2013-01-11, Max Gust SpeedMPH,31.0
2013-01-11,Max Dew PointF,54
2013-01-11,Min TemperatureF,47
2013-01-11,PrecipitationIn,0.82
2013-01-11, Min Humidity,72
2013-01-11, Max Sea Level PressureIn,29.99
2013-01-11, WindDirDegrees,184
2013-01-11,MeanDew PointF,51
2013-01-11, CloudCover,6
2013-01-11,Mean TemperatureF,53
2013-01-11,Max TemperatureF,59
2013-01-11,Max Humidity,100
2013-01-11, Mean Sea Level PressureIn,29.89
2013-01-11, Mean Humidity,86
2013-01-12, CloudCover,6
2013-01-12,MeanDew PointF,55
2013-01-12, Min Sea Level PressureIn,29.67
2013-01-12, Min Humidity,67
2013-01-12,Max Dew PointF,61
2013-01-12, Max Wind SpeedMPH,21
2013-01-12, Max Gust SpeedMPH,28.0
2013-01-12,Max TemperatureF,66
2013-01-12, Max VisibilityMiles,10
2013-01-12, Mean Wind SpeedMPH,8
2013-01-12, Mean VisibilityMiles,7
2013-01-12, Events,Rain
2013-01-12, Mean Sea Level PressureIn,29.87
2013-01-12, Max Sea Level PressureIn,29.99
2013-01-12,Max Humidity,93
2013-01-12, WindDirDegrees,199
2013-01-12,Min DewpointF,47
2013-01-12, Mean Humidity,80
2013-01-12,Min TemperatureF,55
2013-01-12,PrecipitationIn,1.16
2013-01-12,Mean TemperatureF,61
2013-01-13, Events,Rain
2013-01-13, Max VisibilityMiles,10
2013-01-13, Mean Sea Level PressureIn,29.91
2013-01-13, Max Gust SpeedMPH,28.0
2013-01-13,PrecipitationIn,1.73
2013-01-13, WindDirDegrees,324
2013-01-13,Max TemperatureF,65
2013-01-13, Mean Wind SpeedMPH,7
2013-01-13, CloudCover,8
2013-01-13,Min TemperatureF,25
2013-01-13,Max Dew PointF,61
2013-01-13,Min DewpointF,20
2013-01-13,MeanDew PointF,37
2013-01-13, Min Sea Level PressureIn,29.64
2013-01-13, Mean Humidity,87
2013-01-13, Max Sea Level PressureIn,30.24
2013-01-13, Min Humidity,81
2013-01-13, Max Wind SpeedMPH,21
2013-01-13,Mean TemperatureF,45
2013-01-13, Mean VisibilityMiles,5
2013-01-13,Max Humidity,93
2013-01-14,MeanDew PointF,16
2013-01-14,Max Humidity,88
2013-01-14, Mean Sea Level PressureIn,30.38
2013-01-14, Max Sea Level PressureIn,30.46
2013-01-14, Min VisibilityMiles,7
2013-01-14, Mean Humidity,81
2013-01-14, Mean VisibilityMiles,9
2013-01-14, Max Wind SpeedMPH,12
2013-01-14,Max TemperatureF,26
2013-01-14, Mean Wind SpeedMPH,6
2013-01-14,Max Dew PointF,19
2013-01-14,Min TemperatureF,18
2013-01-14,PrecipitationIn,0.00
2013-01-14, CloudCover,5
2013-01-14, Max Gust SpeedMPH,15.0
2013-01-14, Max VisibilityMiles,10
2013-01-14, Min Humidity,74
2013-01-14, Min Sea Level PressureIn,30.26
2013-01-14, WindDirDegrees,347
2013-01-14,Mean TemperatureF,22
2013-01-14,Min DewpointF,12
2013-01-15, Max Gust SpeedMPH,17.0
2013-01-15, Max Wind SpeedMPH,13
2013-01-15, Mean Sea Level PressureIn,30.27
2013-01-15, Max VisibilityMiles,10
2013-01-15, Mean VisibilityMiles,8
2013-01-15, Mean Humidity,70
2013-01-15,Min DewpointF,15
2013-01-15, Min Humidity,56
2013-01-15,Mean TemperatureF,27
2013-01-15,Max Humidity,84
2013-01-15, Min Sea Level PressureIn,30.09
2013-01-15,Max Dew PointF,24
2013-01-15, CloudCover,3
2013-01-15, Mean Wind SpeedMPH,7
2013-01-15, Min VisibilityMiles,5
2013-01-15,Min TemperatureF,19
2013-01-15,PrecipitationIn,0.00
2013-01-15, WindDirDegrees,42
2013-01-15,Max TemperatureF,34
2013-01-15,MeanDew PointF,19
2013-01-15, Max Sea Level PressureIn,30.39
2013-01-16, Max Sea Level PressureIn,30.11
2013-01-16,Min DewpointF,19
2013-01-16, Mean Wind SpeedMPH,5
2013-01-16,MeanDew PointF,22
2013-01-16, Max Wind SpeedMPH,13
2013-01-16,Max Humidity,85
2013-01-16, Max Gust SpeedMPH,16.0
2013-01-16,Max Dew PointF,25
2013-01-16, Min VisibilityMiles,6
2013-01-16, Mean Humidity,71
2013-01-16,PrecipitationIn,0.00
2013-01-16,Min TemperatureF,29
2013-01-16, Mean VisibilityMiles,9
2013-01-16, Min Humidity,56
2013-01-16, CloudCover,5
2013-01-16,Mean TemperatureF,32
2013-01-16, Max VisibilityMiles,10
2013-01-16,Max TemperatureF,35
2013-01-16, Min Sea Level PressureIn,30.01
2013-01-16, Mean Sea Level PressureIn,30.07
2013-01-16, WindDirDegrees,252
2013-01-17,Min TemperatureF,24
2013-01-17, Max Sea Level PressureIn,30.43
2013-01-17, Max Gust SpeedMPH,24.0
2013-01-17, Max VisibilityMiles,10
2013-01-17, Max Wind SpeedMPH,18
2013-01-17,Max Humidity,85
2013-01-17,Max TemperatureF,43
2013-01-17,MeanDew PointF,24
2013-01-17,Mean TemperatureF,34
2013-01-17,PrecipitationIn,0.00
2013-01-17, CloudCover,2
2013-01-17, Min Sea Level PressureIn,30.11
2013-01-17, Min Humidity,50
2013-01-17,Max Dew PointF,31
2013-01-17, WindDirDegrees,344
2013-01-17,Min DewpointF,18
2013-01-17, Mean Wind SpeedMPH,6
2013-01-17, Mean Sea Level PressureIn,30.24
2013-01-17, Mean VisibilityMiles,10
2013-01-17, Min VisibilityMiles,9
2013-01-17, Mean Humidity,68
2013-01-18,Min DewpointF,14
2013-01-18, Max Wind SpeedMPH,20
2013-01-18, Max Gust SpeedMPH,25.0
2013-01-18, WindDirDegrees,189
2013-01-18, Min VisibilityMiles,9
2013-01-18, Mean Sea Level PressureIn,30.4
2013-01-18, Mean Wind SpeedMPH,7
2013-01-18, Max Sea Level PressureIn,30.52
2013-01-18,Max Humidity,92
2013-01-18,MeanDew PointF,19
2013-01-18, CloudCover,0
2013-01-18, Mean Humidity,67
2013-01-18, Min Humidity,41
2013-01-18,Max TemperatureF,42
2013-01-18,PrecipitationIn,0.00
2013-01-18, Min Sea Level PressureIn,30.2
2013-01-18,Min TemperatureF,18
2013-01-18, Mean VisibilityMiles,10
2013-01-18,Mean TemperatureF,30
2013-01-18, Max VisibilityMiles,10
2013-01-18,Max Dew PointF,24
2013-01-19,Mean TemperatureF,46
2013-01-19, Min Humidity,41
2013-01-19, Mean Humidity,53
2013-01-19,Max Dew PointF,36
2013-01-19, Min VisibilityMiles,10
2013-01-19, Mean Wind SpeedMPH,15
2013-01-19,MeanDew PointF,28
2013-01-19, WindDirDegrees,222
2013-01-19, Max VisibilityMiles,10
2013-01-19, Mean Sea Level PressureIn,30.06
2013-01-19, Max Wind SpeedMPH,26
2013-01-19, Max Gust SpeedMPH,35.0
2013-01-19, Max Sea Level PressureIn,30.19
2013-01-19,Max Humidity,65
2013-01-19, Mean VisibilityMiles,10
2013-01-19,PrecipitationIn,0.00
2013-01-19,Max TemperatureF,54
2013-01-19, CloudCover,0
2013-01-19,Min TemperatureF,38
2013-01-19, Min Sea Level PressureIn,29.92
2013-01-19,Min DewpointF,21
2013-01-20, WindDirDegrees,307
2013-01-20, Max Sea Level PressureIn,30.28
2013-01-20,Max TemperatureF,45
2013-01-20,Min DewpointF,6
2013-01-20,MeanDew PointF,14
2013-01-20, Max Gust SpeedMPH,32.0
2013-01-20,Mean TemperatureF,35
2013-01-20, Mean VisibilityMiles,10
2013-01-20, CloudCover,2
2013-01-20, Min Sea Level PressureIn,29.99
2013-01-20, Min Humidity,32
2013-01-20, Min VisibilityMiles,10
2013-01-20,Max Dew PointF,36
2013-01-20, Max VisibilityMiles,10
2013-01-20, Mean Humidity,54
2013-01-20,Max Humidity,76
2013-01-20, Mean Wind SpeedMPH,8
2013-01-20,Min TemperatureF,24
2013-01-20,PrecipitationIn,0.00
2013-01-20, Mean Sea Level PressureIn,30.19
2013-01-20, Max Wind SpeedMPH,22
2013-01-21, Mean Humidity,59
2013-01-21, Min VisibilityMiles,10
2013-01-21,Max Humidity,74
2013-01-21,Min TemperatureF,12
2013-01-21, Max VisibilityMiles,10
2013-01-21, Min Sea Level PressureIn,30.16
2013-01-21,PrecipitationIn,T
2013-01-21, Max Wind SpeedMPH,22
2013-01-21, Mean VisibilityMiles,10
2013-01-21, CloudCover,4
2013-01-21,Min DewpointF,-4
2013-01-21,Mean TemperatureF,18
2013-01-21, Max Gust SpeedMPH,31.0
2013-01-21,MeanDew PointF,7
2013-01-21, Mean Sea Level PressureIn,30.22
2013-01-21,Max TemperatureF,24
2013-01-21, Mean Wind SpeedMPH,10
2013-01-21, Max Sea Level PressureIn,30.32
2013-01-21, WindDirDegrees,291
2013-01-21,Max Dew PointF,16
2013-01-21, Min Humidity,43
2013-01-22,Mean TemperatureF,12
2013-01-22,PrecipitationIn,0.00
2013-01-22, Max Wind SpeedMPH,15
2013-01-22, WindDirDegrees,282
2013-01-22,Min DewpointF,-5
2013-01-22,Min TemperatureF,5
2013-01-22, Mean Humidity,56
2013-01-22, Mean VisibilityMiles,10
2013-01-22, Min VisibilityMiles,10
2013-01-22, Mean Sea Level PressureIn,30.38
2013-01-22, Mean Wind SpeedMPH,6
2013-01-22,Max Dew PointF,0
2013-01-22, Min Humidity,43
2013-01-22, Min Sea Level PressureIn,30.32
2013-01-22, Max Sea Level PressureIn,30.44
2013-01-22, Max Gust SpeedMPH,22.0
2013-01-22,MeanDew PointF,-3
2013-01-22,Max TemperatureF,18
2013-01-22, Max VisibilityMiles,10
2013-01-22,Max Humidity,69
2013-01-23, Mean VisibilityMiles,10
2013-01-23, Mean Humidity,56
2013-01-23,Min TemperatureF,9
2013-01-23,PrecipitationIn,0.00
2013-01-23, Max VisibilityMiles,10
2013-01-23,Max TemperatureF,31
2013-01-23,Max Humidity,73
2013-01-23,MeanDew PointF,8
2013-01-23, Max Gust SpeedMPH,21.0
2013-01-23, Max Sea Level PressureIn,30.39
2013-01-23,Mean TemperatureF,20
2013-01-23, CloudCover,4
2013-01-23, Min Sea Level PressureIn,30.14
2013-01-23, Min Humidity,39
2013-01-23,Max Dew PointF,17
2013-01-23, WindDirDegrees,236
2013-01-23, Mean Wind SpeedMPH,5
2013-01-23, Max Wind SpeedMPH,15
2013-01-23,Min DewpointF,0
2013-01-23, Mean Sea Level PressureIn,30.26
2013-01-23, Min VisibilityMiles,6
2013-01-24, Mean Humidity,50
2013-01-24, Events,Snow
2013-01-24, Mean VisibilityMiles,10
2013-01-24, Min VisibilityMiles,2
2013-01-24, Mean Sea Level PressureIn,30.44
2013-01-24, Max Wind SpeedMPH,17
2013-01-24, WindDirDegrees,30
2013-01-24,Max Dew PointF,14
2013-01-24, Mean Wind SpeedMPH,8
2013-01-24, Min Humidity,27
2013-01-24, Min Sea Level PressureIn,30.22
2013-01-24, CloudCover,2
2013-01-24,Mean TemperatureF,19
2013-01-24, Max Sea Level PressureIn,30.6
2013-01-24, Max Gust SpeedMPH,24.0
2013-01-24,Max Humidity,73
2013-01-24,MeanDew PointF,4
2013-01-24,Max TemperatureF,26
2013-01-24, Max VisibilityMiles,10
2013-01-24,PrecipitationIn,T
2013-01-24,Min TemperatureF,11
2013-01-24,Min DewpointF,-5
2013-01-25, Max Wind SpeedMPH,16
2013-01-25, Mean Wind SpeedMPH,7
2013-01-25, Mean Sea Level PressureIn,30.15
2013-01-25, Mean VisibilityMiles,8
2013-01-25, Events,Snow
2013-01-25,Min TemperatureF,20
2013-01-25, Max Gust SpeedMPH,21.0
2013-01-25, Min Sea Level PressureIn,30.06
2013-01-25,Max TemperatureF,30
2013-01-25, WindDirDegrees,192
2013-01-25, Min Humidity,39
2013-01-25,PrecipitationIn,0.02
2013-01-25, Mean Humidity,57
2013-01-25,Mean TemperatureF,25
2013-01-25,Max Dew PointF,18
2013-01-25,MeanDew PointF,12
2013-01-25,Min DewpointF,0
2013-01-25, Max VisibilityMiles,10
2013-01-25,Max Humidity,74
2013-01-25, CloudCover,6
2013-01-25, Max Sea Level PressureIn,30.35
2013-01-26, Max Sea Level PressureIn,30.43
2013-01-26, Mean Sea Level PressureIn,30.32
2013-01-26, Max Gust SpeedMPH,14.0
2013-01-26,Min DewpointF,12
2013-01-26,Mean TemperatureF,26
2013-01-26,MeanDew PointF,15
2013-01-26, CloudCover,0
2013-01-26,Max Humidity,84
2013-01-26, Mean VisibilityMiles,10
2013-01-26, Min Sea Level PressureIn,30.17
2013-01-26,Max TemperatureF,35
2013-01-26, Max Wind SpeedMPH,10
2013-01-26,PrecipitationIn,0.00
2013-01-26, Min VisibilityMiles,5
2013-01-26, Mean Wind SpeedMPH,4
2013-01-26, Max VisibilityMiles,10
2013-01-26, Mean Humidity,61
2013-01-26,Min TemperatureF,17
2013-01-26, Min Humidity,38
2013-01-26,Max Dew PointF,18
2013-01-26, WindDirDegrees,8
2013-01-27, Max Gust SpeedMPH,21.0
2013-01-27, Max VisibilityMiles,10
2013-01-27, Mean Sea Level PressureIn,30.26
2013-01-27, CloudCover,5
2013-01-27, Mean Humidity,72
2013-01-27,Min TemperatureF,21
2013-01-27,Mean TemperatureF,31
2013-01-27,Min DewpointF,15
2013-01-27, Max Sea Level PressureIn,30.4
2013-01-27, Events,Rain
2013-01-27,Max Humidity,92
2013-01-27, Min Humidity,52
2013-01-27,PrecipitationIn,0.19
2013-01-27, WindDirDegrees,139
2013-01-27,MeanDew PointF,24
2013-01-27,Max TemperatureF,40
2013-01-27, Max Wind SpeedMPH,15
2013-01-27,Max Dew PointF,38
2013-01-27, Min VisibilityMiles,2
2013-01-27, Min Sea Level PressureIn,30.07
2013-01-27, Mean Wind SpeedMPH,9
2013-01-27, Mean VisibilityMiles,6
2013-01-28,Min DewpointF,37
2013-01-28,Mean TemperatureF,49
2013-01-28, Mean VisibilityMiles,4
2013-01-28, Min VisibilityMiles,2
2013-01-28, Mean Sea Level PressureIn,30.03
2013-01-28,Max TemperatureF,58
2013-01-28,Max Dew PointF,55
2013-01-28, Events,Rain
2013-01-28, Max Wind SpeedMPH,28
2013-01-28, WindDirDegrees,202
2013-01-28,Max Humidity,96
2013-01-28, Min Humidity,71
2013-01-28, Max VisibilityMiles,10
2013-01-28, Mean Wind SpeedMPH,13
2013-01-28,PrecipitationIn,0.40
2013-01-28, Mean Humidity,84
2013-01-28,Min TemperatureF,39
2013-01-28, Min Sea Level PressureIn,29.99
2013-01-28, CloudCover,8
2013-01-28, Max Gust SpeedMPH,41.0
2013-01-28, Max Sea Level PressureIn,30.1
2013-01-28,MeanDew PointF,48
2013-01-29, Max Gust SpeedMPH,38.0
2013-01-29, Max VisibilityMiles,10
2013-01-29, Min Humidity,72
2013-01-29, Mean Sea Level PressureIn,29.82
2013-01-29, Max Sea Level PressureIn,30.0
2013-01-29,Max Humidity,86
2013-01-29,Mean TemperatureF,62
2013-01-29, Mean Humidity,79
2013-01-29,Min TemperatureF,56
2013-01-29, Max Wind SpeedMPH,28
2013-01-29,Max Dew PointF,57
2013-01-29,Max TemperatureF,67
2013-01-29, CloudCover,7
2013-01-29,Min DewpointF,51
2013-01-29, Mean VisibilityMiles,8
2013-01-29, Min Sea Level PressureIn,29.43
2013-01-29,MeanDew PointF,54
2013-01-29,PrecipitationIn,0.00
2013-01-29, WindDirDegrees,192
2013-01-29, Mean Wind SpeedMPH,16
2013-01-29, Min VisibilityMiles,4
2013-01-30,PrecipitationIn,0.99
2013-01-30, Max Wind SpeedMPH,39
2013-01-30, Min Humidity,68
2013-01-30,Min TemperatureF,27
2013-01-30,Max Humidity,96
2013-01-30,MeanDew PointF,42
2013-01-30, Mean Sea Level PressureIn,29.42
2013-01-30, Mean VisibilityMiles,7
2013-01-30, Max Sea Level PressureIn,29.7
2013-01-30, Max Gust SpeedMPH,63.0
2013-01-30, Min VisibilityMiles,2
2013-01-30,Mean TemperatureF,48
2013-01-30, Events,Rain-Snow
2013-01-30, Min Sea Level PressureIn,29.29
2013-01-30, Max VisibilityMiles,10
2013-01-30, Mean Wind SpeedMPH,14
2013-01-30, Mean Humidity,82
2013-01-30, WindDirDegrees,260
2013-01-30,Max TemperatureF,68
2013-01-30,Min DewpointF,20
2013-01-30, CloudCover,8
2013-01-30,Max Dew PointF,57
2013-01-31, Mean Wind SpeedMPH,15
2013-01-31,Max Dew PointF,22
2013-01-31, WindDirDegrees,284
2013-01-31,Min DewpointF,-2
2013-01-31, Min Humidity,53
2013-01-31, Min VisibilityMiles,0
2013-01-31, Max VisibilityMiles,10
2013-01-31,Max Humidity,81
2013-01-31,Min TemperatureF,10
2013-01-31, Events,Fog-Snow
2013-01-31, Max Wind SpeedMPH,28
2013-01-31,PrecipitationIn,0.01
2013-01-31, Mean VisibilityMiles,6
2013-01-31, CloudCover,7
2013-01-31, Mean Humidity,67
2013-01-31, Min Sea Level PressureIn,29.73
2013-01-31,Mean TemperatureF,21
2013-01-31,MeanDew PointF,14
2013-01-31, Max Gust SpeedMPH,38.0
2013-01-31, Max Sea Level PressureIn,30.19
2013-01-31, Mean Sea Level PressureIn,29.94
2013-01-31,Max TemperatureF,31
2013-02-01, Mean VisibilityMiles,9
2013-02-01,PrecipitationIn,T
2013-02-01, Mean Sea Level PressureIn,30.34
2013-02-01, Min Humidity,53
2013-02-01, Mean Humidity,65
2013-02-01, Max Gust SpeedMPH,29.0
2013-02-01,MeanDew PointF,0
2013-02-01, Max Sea Level PressureIn,30.47
2013-02-01,Max TemperatureF,16
2013-02-01, WindDirDegrees,264
2013-02-01, Mean Wind SpeedMPH,8
2013-02-01, Events,Snow
2013-02-01,Mean TemperatureF,11
2013-02-01, Min Sea Level PressureIn,30.18
2013-02-01,Max Humidity,76
2013-02-01, Max VisibilityMiles,10
2013-02-01, Min VisibilityMiles,2
2013-02-01,Min DewpointF,-3
2013-02-01, Max Wind SpeedMPH,22
2013-02-01, CloudCover,5
2013-02-01,Max Dew PointF,6
2013-02-01,Min TemperatureF,5
2013-02-02, Max VisibilityMiles,10
2013-02-02, Mean Wind SpeedMPH,9
2013-02-02, Mean Sea Level PressureIn,30.1
2013-02-02,MeanDew PointF,18
2013-02-02,Mean TemperatureF,22
2013-02-02,PrecipitationIn,0.08
2013-02-02,Max Dew PointF,22
2013-02-02, CloudCover,8
2013-02-02, Events,Snow
2013-02-02, Mean VisibilityMiles,6
2013-02-02, Mean Humidity,71
2013-02-02,Min TemperatureF,14
2013-02-02,Max TemperatureF,30
2013-02-02, Min Sea Level PressureIn,30.0
2013-02-02,Min DewpointF,7
2013-02-02, Max Sea Level PressureIn,30.3
2013-02-02, Max Wind SpeedMPH,20
2013-02-02, Max Gust SpeedMPH,28.0
2013-02-02, Min Humidity,58
2013-02-02,Max Humidity,84
2013-02-02, WindDirDegrees,237
2013-02-03,Max TemperatureF,27
2013-02-03, Min Sea Level PressureIn,29.97
2013-02-03, CloudCover,7
2013-02-03,Mean TemperatureF,19
2013-02-03, Mean Humidity,80
2013-02-03, Max Gust SpeedMPH,21.0
2013-02-03, Max VisibilityMiles,10
2013-02-03, Min Humidity,67
2013-02-03,Max Dew PointF,21
2013-02-03, Events,Snow
2013-02-03, Mean VisibilityMiles,5
2013-02-03,PrecipitationIn,T
2013-02-03, Max Wind SpeedMPH,15
2013-02-03, WindDirDegrees,291
2013-02-03,Min DewpointF,8
2013-02-03,Min TemperatureF,11
2013-02-03, Mean Sea Level PressureIn,30.05
2013-02-03, Max Sea Level PressureIn,30.15
2013-02-03, Mean Wind SpeedMPH,4
2013-02-03,MeanDew PointF,15
2013-02-03,Max Humidity,92
2013-02-04,MeanDew PointF,23
2013-02-04, Min Sea Level PressureIn,29.8
2013-02-04, Mean Humidity,72
2013-02-04, Mean VisibilityMiles,7
2013-02-04,Max TemperatureF,40
2013-02-04,Min TemperatureF,12
2013-02-04,Max Dew PointF,29
2013-02-04, Mean Wind SpeedMPH,6
2013-02-04,Max Humidity,92
2013-02-04, WindDirDegrees,219
